Sno,Name,Regno,EmailId,Marks
1,allu,2147483647,allu@gmail.com,5,2016-09-09 00:13:38
2,allu,2147483647,allu@gmail.com,5,2016-09-09 00:15:54
3,allu,2147483647,allu@gmail.com,5,2016-09-09 00:17:23
4,allu,2147483647,allu@gmail.com,5,2016-09-09 00:17:45
5,allu,2147483647,allu@gmail.com,5,2016-09-09 00:18:47
6,allu,2147483647,allu@gmail.com,5,2016-09-09 00:19:01
7,allu,2147483647,allu@gmail.com,5,2016-09-09 00:23:59
8,allu,2147483647,allu@gmail.com,5,2016-09-09 00:25:04
9,allu,2147483647,allu@gmail.com,0,2016-09-09 00:50:53
10,allu,2147483647,allu@gmail.com,5,2016-09-09 01:07:50
11,allu,2147483647,allu@gmail.com,5,2016-09-09 09:33:03
